コード,銘柄名,社名,業種
4151.T,協和キリン,協和キリン(株),医薬品
4502.T,武田,武田薬品工業(株),医薬品
4503.T,アステラス,アステラス製薬(株),医薬品
4506.T,大日本住友,大日本住友製薬(株),医薬品
4507.T,塩野義,塩野義製薬(株),医薬品
4519.T,中外薬,中外製薬(株),医薬品
4523.T,エーザイ,エーザイ(株),医薬品
4568.T,第一三共,第一三共(株),医薬品
4578.T,大塚ＨＤ,大塚ホールディングス(株),医薬品
3105.T,日清紡ＨＤ,日清紡ホールディングス(株),電気機器
6479.T,ミネベア,ミネベアミツミ(株),電気機器
6501.T,日立,(株)日立製作所,電気機器
6503.T,三菱電,三菱電機(株),電気機器
6504.T,富士電機,富士電機(株),電気機器
6506.T,安川電,(株)安川電機,電気機器
6645.T,オムロン,オムロン(株),電気機器
6674.T,ＧＳユアサ,(株)ジーエス・ユアサ　コーポレーション,電気機器
6701.T,ＮＥＣ,日本電気(株),電気機器
6702.T,富士通,富士通(株),電気機器
6703.T,ＯＫＩ,沖電気工業(株),電気機器
6724.T,エプソン,セイコーエプソン(株),電気機器
6752.T,パナソニック,パナソニック(株),電気機器
6753.T,シャープ,シャープ(株),電気機器
6758.T,ソニーＧ,ソニーグループ(株),電気機器
6762.T,ＴＤＫ,ＴＤＫ(株),電気機器
6770.T,アルプスアル,アルプスアルパイン(株),電気機器
6841.T,横河電,横河電機(株),電気機器
6857.T,アドテスト,(株)アドバンテスト,電気機器
6902.T,デンソー,(株)デンソー,電気機器
6952.T,カシオ,カシオ計算機(株),電気機器
6954.T,ファナック,ファナック(株),電気機器
6971.T,京セラ,京セラ(株),電気機器
6976.T,太陽誘電,太陽誘電(株),電気機器
7735.T,スクリン,(株)ＳＣＲＥＥＮホールディングス,電気機器
7751.T,キヤノン,キヤノン(株),電気機器
7752.T,リコー,(株)リコー,電気機器
8035.T,東エレク,東京エレクトロン(株),電気機器
7201.T,日産自,日産自動車(株),自動車
7202.T,いすゞ,いすゞ自動車(株),自動車
7203.T,トヨタ,トヨタ自動車(株),自動車
7205.T,日野自,日野自動車(株),自動車
7211.T,三菱自,三菱自動車工業(株),自動車
7261.T,マツダ,マツダ(株),自動車
7267.T,ホンダ,本田技研工業(株),自動車
7269.T,スズキ,スズキ(株),自動車
7270.T,ＳＵＢＡＲＵ,(株)ＳＵＢＡＲＵ,自動車
7272.T,ヤマハ発,ヤマハ発動機(株),自動車
4543.T,テルモ,テルモ(株),精密機器
4902.T,コニカミノル,コニカミノルタ(株),精密機器
