時刻,売買, 売買金額 , 損益 ,備考
09:01:00,売建," 186,300.0 ",,
09:15:00,買埋," 186,100.0 ", 200 ,
09:15:00,買建," 186,100.0 ",,
09:25:00,売埋," 186,100.0 ", - ,
09:25:00,売建," 186,100.0 ",,
09:37:00,買埋," 186,000.0 ", 100 ,
09:37:00,買建," 186,000.0 ",,
09:49:00,売埋," 185,900.0 ", -100 ,
09:49:00,売建," 185,900.0 ",,
10:07:00,買埋," 184,950.0 ", 950 ,
10:07:00,買建," 184,950.0 ",,
10:09:00,売埋," 184,750.0 ", -200 ,
10:09:00,売建," 184,750.0 ",,
10:13:00,買埋," 184,900.0 ", -150 ,
10:13:00,買建," 184,900.0 ",,
10:28:00,売埋," 185,300.0 ", 400 ,
10:28:00,売建," 185,300.0 ",,
10:32:00,買埋," 185,550.0 ", -250 ,
10:32:00,買建," 185,550.0 ",,
10:41:00,売埋," 185,350.0 ", -200 ,
10:41:00,売建," 185,350.0 ",,
10:49:00,買埋," 185,500.0 ", -150 ,
10:49:00,買建," 185,500.0 ",,
11:17:00,売埋," 186,150.0 ", 650 ,
11:17:00,売建," 186,150.0 ",,
11:18:00,買埋," 186,150.0 ", - ,
11:18:00,買建," 186,150.0 ",,
11:19:00,売埋," 186,150.0 ", - ,
11:19:00,売建," 186,150.0 ",,
11:20:00,買埋," 186,100.0 ", 50 ,
11:20:00,買建," 186,100.0 ",,
11:21:00,売埋," 186,000.0 ", -100 ,
11:21:00,売建," 186,000.0 ",,
11:23:00,買埋," 186,050.0 ", -50 ,
11:23:00,買建," 186,050.0 ",,
11:24:00,売埋," 185,900.0 ", -150 ,
11:24:00,売建," 185,900.0 ",,
11:29:00,買埋（強制）," 185,900.0 ", - ,前引け
