Datetime,Open,High,Low,Close,Volume
2025/1/17 9:00,1880.5,1881,1872.5,1873.5,2656800
2025/1/17 9:01,1872.5,1878.5,1870.5,1876.5,831000
2025/1/17 9:02,1876,1876,1873.5,1874,264000
2025/1/17 9:03,1874,1877.5,1873.5,1877,235900
2025/1/17 9:04,1877,1880.5,1876,1879,374200
2025/1/17 9:05,1879,1879,1876,1877,373700
2025/1/17 9:06,1877.5,1878.5,1874,1875,360200
2025/1/17 9:07,1875.5,1877.5,1874,1875,212000
2025/1/17 9:08,1874.5,1875,1872.5,1873,257900
2025/1/17 9:09,1873,1873,1868.5,1870,954300
2025/1/17 9:10,1869.5,1869.5,1867,1868.5,498500
2025/1/17 9:11,1868.5,1868.5,1865,1867.5,501000
2025/1/17 9:12,1867,1869,1865,1868.5,356600
2025/1/17 9:13,1868.5,1869,1866,1866.5,208800
2025/1/17 9:14,1866,1866.5,1864,1865.5,332400
2025/1/17 9:15,1865.5,1866,1862,1864.5,470200
2025/1/17 9:16,1864,1865.5,1861,1861,478000
2025/1/17 9:17,1861.5,1862,1858,1859.5,1271000
2025/1/17 9:18,1859.5,1860,1858.5,1859,176100
2025/1/17 9:19,1859,1861,1856.5,1856.5,370600
2025/1/17 9:20,1857,1857,1853.5,1856,581200
2025/1/17 9:21,1856,1857,1855,1855.5,306900
2025/1/17 9:22,1855.5,1856.5,1852,1852.5,350800
2025/1/17 9:23,1852.5,1853.5,1850.5,1853.5,643900
2025/1/17 9:24,1853.5,1855.5,1850.5,1851.5,442600
2025/1/17 9:25,1851.5,1851.5,1845.5,1847.5,1736800
2025/1/17 9:26,1847.5,1849.5,1847,1849.5,369400
2025/1/17 9:27,1850,1851,1847.5,1848.5,1119300
2025/1/17 9:28,1849,1850,1845.5,1845.5,331300
2025/1/17 9:29,1846,1846.5,1843.5,1846,644000
2025/1/17 9:30,1846,1847,1844,1845.5,189900
2025/1/17 9:31,1845.5,1846.5,1842.5,1843,235300
2025/1/17 9:32,1843,1843.5,1837,1837,940900
2025/1/17 9:33,1837,1842,1837,1838.5,425000
2025/1/17 9:34,1838,1839,1835.5,1837.5,415400
2025/1/17 9:35,1837.5,1842,1837.5,1839,282800
2025/1/17 9:36,1839,1840,1838,1839.5,189300
2025/1/17 9:37,1839.5,1841,1838,1841,322500
2025/1/17 9:38,1841,1844.5,1841,1844,231700
2025/1/17 9:39,1844,1845.5,1842.5,1844.5,318500
2025/1/17 9:40,1844.5,1847.5,1844.5,1847.5,285500
2025/1/17 9:41,1846.5,1849.5,1846.5,1849.5,346300
2025/1/17 9:42,1849.5,1852,1849,1851,308000
2025/1/17 9:43,1851,1852.5,1850,1851.5,181400
2025/1/17 9:44,1851,1851.5,1847.5,1848.5,328900
2025/1/17 9:45,1848,1848,1845,1846.5,195000
2025/1/17 9:46,1846,1850.5,1846,1849.5,256200
2025/1/17 9:47,1849.5,1850.5,1848,1849.5,262400
2025/1/17 9:48,1849.5,1850.5,1847,1847.5,174800
2025/1/17 9:49,1847.5,1848.5,1846.5,1848.5,161300
2025/1/17 9:50,1848.5,1849,1847,1848,98500
2025/1/17 9:51,1847.5,1849.5,1847,1848,140000
2025/1/17 9:52,1847.5,1848,1846,1847.5,121600
2025/1/17 9:53,1847,1847,1844.5,1845,370000
2025/1/17 9:54,1845,1846.5,1844,1844.5,158100
2025/1/17 9:55,1844,1845,1842.5,1842.5,204400
2025/1/17 9:56,1842,1847.5,1841.5,1847.5,306200
2025/1/17 9:57,1847.5,1850,1847,1850,267700
2025/1/17 9:58,1850,1850,1845.5,1845.5,205700
2025/1/17 9:59,1846,1846.5,1844,1846,105000
2025/1/17 10:00,1845.5,1846.5,1844.5,1846,136300
2025/1/17 10:01,1846,1848,1846,1848,89900
2025/1/17 10:02,1847.5,1849.5,1847,1849,145700
2025/1/17 10:03,1848.5,1850,1848,1848.5,139000
2025/1/17 10:04,1848.5,1849,1846,1846,149400
2025/1/17 10:05,1845.5,1846,1844,1845,179900
2025/1/17 10:06,1844.5,1845.5,1844,1844.5,158200
2025/1/17 10:07,1845,1846,1842.5,1843,269500
2025/1/17 10:08,1843.5,1844,1843,1843,55300
2025/1/17 10:09,1843,1844,1840.5,1841,149100
2025/1/17 10:10,1841,1843,1840.5,1842.5,166500
2025/1/17 10:11,1842.5,1844.5,1842.5,1843,191900
2025/1/17 10:12,1842.5,1843,1839,1840,436400
2025/1/17 10:13,1840,1840.5,1838.5,1839.5,190700
2025/1/17 10:14,1840,1840.5,1839,1839.5,125400
2025/1/17 10:15,1839.5,1840,1837,1838,209000
2025/1/17 10:16,1838,1839,1837.5,1839,58000
2025/1/17 10:17,1839,1839,1837,1837.5,97600
2025/1/17 10:18,1837.5,1838.5,1836.5,1836.5,235400
2025/1/17 10:19,1836.5,1837,1835.5,1835.5,282600
2025/1/17 10:20,1836,1836,1834.5,1836,647700
2025/1/17 10:21,1836,1836,1834.5,1835,154100
2025/1/17 10:22,1834.5,1834.5,1832.5,1832.5,200900
2025/1/17 10:23,1833,1836,1832.5,1835.5,215800
2025/1/17 10:24,1835.5,1835.5,1833.5,1834,96800
2025/1/17 10:25,1834,1835,1833.5,1834.5,105400
2025/1/17 10:26,1834.5,1835,1833.5,1833.5,136000
2025/1/17 10:27,1834,1834,1832,1832.5,166700
2025/1/17 10:28,1832,1836.5,1832,1836,260200
2025/1/17 10:29,1836.5,1837,1834.5,1835.5,104300
2025/1/17 10:30,1835.5,1836,1833.5,1834.5,149400
2025/1/17 10:31,1834.5,1836.5,1834,1836.5,100100
2025/1/17 10:32,1836.5,1836.5,1833,1834,85700
2025/1/17 10:33,1833.5,1834,1833.5,1833.5,57900
2025/1/17 10:34,1833.5,1834,1832,1833.5,154500
2025/1/17 10:35,1833.5,1835,1832.5,1835,91200
2025/1/17 10:36,1835,1835.5,1834.5,1835.5,58500
2025/1/17 10:37,1835,1836,1834.5,1835,57500
2025/1/17 10:38,1835,1835.5,1833.5,1834,99100
2025/1/17 10:39,1834,1835,1833.5,1834.5,48900
2025/1/17 10:40,1834.5,1835.5,1834,1835,40100
2025/1/17 10:41,1834.5,1836.5,1834.5,1834.5,61700
2025/1/17 10:42,1835,1835,1834,1834,39600
2025/1/17 10:43,1834,1835.5,1833.5,1835.5,105900
2025/1/17 10:44,1835.5,1835.5,1834.5,1835.5,30600
2025/1/17 10:45,1835,1836.5,1833,1833.5,121400
2025/1/17 10:46,1833,1833.5,1832.5,1832.5,122800
2025/1/17 10:47,1833,1834.5,1833,1834.5,86400
2025/1/17 10:48,1834,1834.5,1833,1834,80000
2025/1/17 10:49,1834,1834.5,1833.5,1834.5,63200
2025/1/17 10:50,1834.5,1834.5,1833,1834,89200
2025/1/17 10:51,1834,1834.5,1833.5,1833.5,72500
2025/1/17 10:52,1833.5,1833.5,1832,1832.5,175400
